Vertex_ID	X	Y	Z
0	1.482259989	-9.497520447	8.680179596
1	2.339960098	-9.164299965	8.230050087
2	7.113780022	0.372063994	5.669829845
3	5.916629791	0.956622005	7.45678997
4	1.11037004	3.99774003	10.19789982
5	1.725389957	4.468800068	10.34500027
6	2.656130075	3.031579971	8.836770058
7	2.125989914	2.633500099	8.953280449
8	2.173540115	2.736249924	8.651599884
9	2.682909966	2.931979895	9.130279541
10	4.446949959	1.414800048	8.538640022
11	0.95638603	2.572770119	9.539589882
12	1.365170002	2.546730042	9.023989677
13	4.508329868	2.51315999	8.322979927
14	1.822309971	2.301970005	8.77175045
15	1.811509967	2.405459881	8.838879585
16	2.177279949	2.360270023	8.488530159
17	2.658400059	-4.87142992	9.219240189
18	2.627599955	-4.876080036	9.12872982
19	2.463880062	-4.873239994	9.330389977
20	2.690289974	-4.817840099	9.269430161
21	2.396630049	-4.699389935	9.705149651
22	2.764820099	-4.855130196	9.207169533
23	2.725680113	-4.681670189	9.380069733
24	3.095619917	-4.814720154	9.193949699
25	2.6588099	-4.906569958	9.158089638
26	1.990460038	-5.632800102	10.03880024
27	2.520620108	-5.103020191	9.326849937
28	2.249959946	-4.34968996	10.15270042
29	1.67358005	-4.000179768	10.62639999
30	2.460449934	-4.917270184	9.364219666
31	2.463880062	-4.873239994	9.330389977
32	4.090300083	2.215049982	8.516480446
33	3.017450094	2.084559917	8.785559654
34	8.636289597	-0.556731999	-1.269619942
35	7.822199821	-1.537639976	0.909978986
36	7.838119984	-0.852927029	1.108450055
37	7.822599888	0.0673462	1.142070055
38	4.771150112	2.674510002	8.335439682
39	6.941760063	-3.761840105	1.58494997
40	2.096220016	2.256850004	8.811090469
41	0.628740013	3.013279915	9.97770977
42	1.768139958	-4.901860237	9.938830376
43	1.678079963	-4.625740051	10.31019974
44	6.327260017	-5.292669773	0.901477993
45	7.646500111	0.079334602	2.367269993
46	6.436429977	-5.047669888	-1.806310058
47	5.494299889	-8.135669708	-4.934619904
48	2.487869978	-5.028240204	9.3582201
49	2.667030096	-4.898729801	9.207110405
50	2.835059881	-4.862370014	9.184140205
51	1.888849974	-5.271120071	10.08440018
52	3.380729914	-8.544019699	7.167850018
53	3.896260023	-3.411119938	-6.021850109
54	5.68170023	-3.057960033	-4.612490177
55	6.179080009	8.678859711	5.245699883
56	4.805560112	10.51780033	5.653460026
57	5.22300005	8.923480034	6.768959999
58	8.977279663	1.46894002	-2.137639999
59	8.601530075	1.626099944	-2.409670115
60	8.647689819	0.084218398	-2.006629944
61	8.360790253	0.052151501	-2.279150009
62	8.16094017	-0.670445025	-2.027889967
63	8.492320061	-0.717141986	-1.660719991
64	7.959760189	-1.643020034	-0.277684987
65	8.449970245	-1.311249971	-0.275222987
66	7.438330173	-2.49406004	-0.466131985
67	8.867429733	2.784260035	0.581695974
68	8.155099869	1.985170007	0.856029987
69	8.805729866	0.190281004	-1.658450007
70	8.246419907	-0.015912101	0.577513993
71	2.441910028	-2.110189915	9.611889839
72	3.070009947	-2.130000114	9.502630234
73	2.324290037	-1.223989964	9.687419891
74	1.911759973	-2.018199921	9.956970215
75	2.097769976	-1.325199962	10.10249996
76	5.216629982	2.268759966	7.690010071
77	5.304279804	2.829200029	7.973589897
78	3.039160013	1.317499995	9.016480446
79	4.731619835	4.670119762	9.222610474
80	5.683010101	4.151830196	8.276740074
